AVGDPD0_EVER;CNTGOODPOS;CNTUNIQUEPHONES;FIRSTADATENOTRD;CNTUNSUCCESSFULWEEKS24M;INSTALMENTCNTPAIDINTIME;AVGDPD0_36M;NUMINSTTOPAYGR;TEXTLASTRISKPRODCOMBINATION;PARTEPCOUNT;AVGDPD0_12M;CODEPAIDOFFAFTERDPD;NUMREJECTS9M;LASTFULLEPDATE
0.947826086956522;0;0;2256;12;39;1.39622641509434;83;0.023198651;2;0;0;3;999
;1;1;357;0;15;0;1;0.023198651;1;0;0;0;210
0.267241379310345;2;1;5179;1;93;0;30;0.023198651;14;0;0;0;73
0.0372670807453416;0;1;4859;5;156;0;18;0.020120724;;0;0;4;1276
0.466666666666667;1;1;1335;5;43;0.0983606557377049;42;0.023198651;;0;0;5;921
;3;1;3505;0;20;0;0;0.023198651;;;0;0;716
;3;1;3323;4;114;1.49230769230769;2;0.023198651;;0.666666666666667;0;2;1783
;0;1;3348;1;54;0;9;0.031356486;2;0;0;0;127
0;0;2;474;0;23;0;27;0.023198651;;0;0;0;224
;0;0;3380;0;6;;0;0.031356486;;;0;0;
;1;0;5271;1;9;;0;0.023198651;;;0;1;
;0;0;535;0;18;0.25;33;0.023198651;;0.333333333333333;0;0;
;0;0;1646;0;3;;0;0.023198651;;;0;0;1547
1.65;0;1;4387;0;9;0;0;0.023198651;;0;0;1;906
0;1;1;3081;1;11;0;55;0.023198651;;0;0;0;
;0;1;2135;1;37;0;0;0.023198651;1;0;0;1;72
0;0;1;1061;2;72;0;145;0.023198651;1;0;0;0;651
;0;0;247;0;4;4.71428571428571;12;0.023198651;;4.71428571428571;0;0;
0;0;1;3031;1;41;0;37;0.020120724;;0;0;2;1220
;0;0;4600;0;32;;0;0.023198651;;;0;0;2414
;2;1;5576;0;7;0;0;0.023198651;;;0;0;577
;0;1;998;0;21;0.347826086956522;0;0.023198651;1;0;0;0;92
0.333333333333333;2;1;4541;0;125;0;41;0.020120724;;0;0;0;2016
0.1875;0;1;2184;14;45;0;3;0.023198651;;0;0;12;
;1;1;455;0;14;0;10;0.023198651;;0;0;0;
0;1;1;1050;4;9;0;55;0.023198651;;0;0;3;241
0.71875;1;1;2823;2;41;1.20512820512821;49;0.023198651;;2.61538461538462;0;1;318
;1;1;615;0;7;0;0;0.023198651;;0;0;0;61
0;0;1;400;1;12;0;48;0.023198651;;0;0;1;
;0;0;890;4;4;0;20;0.023198651;1;0;0;5;
2.5;0;1;1684;0;41;0.135135135135135;40;0.023198651;13;0.384615384615385;0;0;239
;0;1;3724;3;46;;0;0.023198651;2;;0;1;1320
;1;1;3035;0;28;0.333333333333333;0;0.023198651;1;;0;0;1648
0.331210191082803;0;1;4630;1;55;0.54320987654321;48;0.023198651;;0.121212121212121;0;0;
;0;1;2772;0;18;;0;0.026860354;;;0;0;2231
;0;2;4402;0;44;0;0;0.023198651;1;;0;0;486
1;1;1;1360;3;18;0.285714285714286;6;0.023198651;;0;0;2;895
;0;1;4654;1;44;1.5;0;0.031356486;;1.8;0;0;2154
0.142857142857143;1;1;5242;0;64;0.219512195121951;36;0.020120724;1;0;0;0;701
;0;0;2755;2;5;;0;0.031356486;;;0;1;2582
;0;0;1779;1;35;0;20;0.023198651;1;0;0;0;526
0;0;1;2746;1;65;0;43;0.023198651;;0;0;0;
;3;1;3537;0;55;0.0666666666666667;0;0.023198651;;0;0;0;133
3.25;0;1;4306;0;142;0;35;0.023198651;;0;0;0;486
;1;1;2792;0;20;0;0;0.023198651;1;;0;0;571
0;1;1;694;5;0;0;0;0.023198651;;0;0;0;
